"route_uniq","quad_poly_id"
"C840S39R027",252
"C840S39R028",251
"C840S39R029",251
"C840S39R030",251
"C840S39R031",251
"C840S39R032",251
"C840S39R033",251
"C840S39R034",251
"C840S39R035",251
"C840S39R036",250
"C840S39R037",224
"C840S39R038",224
"C840S39R039",224
"C840S39R040",224
"C840S39R041",224
"C840S39R042",253
"C840S39R043",225
"C840S39R044",225
"C840S39R045",225
"C840S39R046",225
"C840S39R107",279
"C840S39R112",278
"C840S39R113",254
"C840S39R114",253
"C840S39R117",253
"C840S39R118",253
"C840S39R119",253
"C840S39R120",251
"C840S39R124",252
"C840S39R127",252
"C840S39R132",251
"C840S39R133",251
"C840S39R134",251
"C840S39R137",224
"C840S39R145",225
"C840S39R146",225
"C840S39R214",253
"C840S39R900",251
"C840S39R901",251
"C840S42R001",383
"C840S42R002",383
"C840S42R003",382
"C840S42R004",382
"C840S42R005",382
"C840S42R006",381
"C840S42R007",381
"C840S42R008",383
"C840S42R009",366
"C840S42R010",366
"C840S42R011",381
"C840S42R012",366
"C840S42R013",365
"C840S42R014",365
"C840S42R015",380
"C840S42R016",364
"C840S42R017",365
"C840S42R018",350
"C840S42R019",365
"C840S42R020",365
"C840S42R021",365
"C840S42R022",364
"C840S42R023",349
"C840S42R024",349
"C840S42R025",349
"C840S42R026",349
"C840S42R027",348
"C840S42R028",348
